工作节点id,机器id,机器name,upload_bandwidth,download_bandwidth,network_latency,free_memory,cuda_version,gpu_free_memory,gpu_name
2872,6f901f22-e8c8-4f6c-a881-a578c973542e,DESKTOP-79GCEUV,0.0,0.0,19.0,15.059326171875,12.5,8.324397087097168,NVIDIA GeForce RTX 4070 SUPER
2874,af1b703e-5c8c-4a07-9c68-659e257b4e9d,WIN-20240622QI5,0.0,0.0,27.0,36.62113952636719,12.2,0.5928306579589844,NVIDIA GeForce GTX 1060 6GB
2878,c9f19f83-2cc2-4147-ac7b-aa69017cd505,热风坡,0.0,0.0,40.0,24.51781463623047,12.5,3.964651107788086,NVIDIA GeForce RTX 4060
2909,f573c364-4bf7-4a86-8333-611e09851694,DESKTOP-8DHP3L1,0.0,0.0,28.0,8.999874114990234,12.5,6.1238555908203125,NVIDIA GeForce RTX 4060 Laptop GPU
2978,c84e48bd-ed1a-4f8f-8f32-1f930d6a5d30,WIN-20240626HJY,0.0,0.0,45.0,42.628578186035156,12.5,21.990090370178223,NVIDIA GeForce RTX 4090
2983,a4cda2c5-2701-45fd-a7ec-e6125d549b68,Pink-Pen-PC,0.0,0.0,30.0,33.65673828125,12.4,12.163365364074707,NVIDIA GeForce RTX 4090
2984,ad836333-7cb8-4a65-8f5d-d34a97760914,DESKTOP-RHMR1H4,0.0,0.0,28.0,12.108081817626953,12.5,18.88064670562744,NVIDIA GeForce RTX 4090
2989,93bf9b3f-2702-4706-8e89-2a95b1910e51,lucascswan-NB1,0.0,0.0,15.0,3.6016693115234375,11.4,1.8900413513183594,NVIDIA GeForce RTX 3050 Ti Laptop GPU
2990,b7f494e5-35c8-4805-8852-53d38ba0870c,guangxue,0.0,0.0,8.0,9.405136108398438,12.6,6.9728498458862305,NVIDIA GeForce RTX 3070
2991,09758204-62c1-4bed-a701-4c5e96078284,WIN-MPH520LL3IM,0.0,0.0,37.0,22.536121368408203,12.5,20.811115264892578,NVIDIA GeForce RTX 3090
3053,7042a67b-e9be-4943-8068-bad2f57941cb,WIN-20240607KZU,0.0,0.0,35.0,10.507389068603516,11.4,1.5286369323730469,NVIDIA GeForce GT 710
3057,04232f0a-bcb9-4a9f-9fdf-3e6795dd959e,SLM-HLA,0.0,0.0,5.0,19.637466430664062,12.4,21.068506240844727,NVIDIA GeForce RTX 4090
3120,96ccff9c-d6bd-44b4-8223-4b8722a94eb3,WIN-GHNVPIC9003,0.0,0.0,37.0,3.3758163452148438,12.2,0.5238723754882812,NVIDIA GeForce GT 1030
3121,da609bea-7a11-4e5c-8128-1a6075dee263,DESKTOP-SJAB57C,0.0,0.0,37.0,48.24274444580078,12.5,0.3652687072753906,NVIDIA GeForce RTX 4090
3196,c39df8d2-d66b-4c0b-ae46-2f90783c6eff,h610,0.0,0.0,177.0,12.315414428710938,12.6,10.722576141357422,NVIDIA GeForce RTX 4070 SUPER
3203,1e1b55d1-0310-4f27-9c29-4d13d84ff3c9,DESKTOP-CIED8GJ,0.0,0.0,52.0,110.53461074829102,12.5,0.03485584259033203,NVIDIA GeForce RTX 3060
3212,8c086eaa-c958-4fdf-96c3-4bc9c96c8613,DESKTOP-V6H2PHP,0.0,0.0,69.0,8.930885314941406,12.3,23.119136810302734,NVIDIA GeForce RTX 3090
3222,8a55e0e6-a7d9-4e6d-ab85-e0c218afe6d5,DESKTOP-GL9F9O4,0.0,0.0,21.0,21.738460540771484,12.4,13.124637603759766,NVIDIA GeForce RTX 4080 SUPER
