工作节点id,机器id,机器name,upload_bandwidth,download_bandwidth,network_latency,free_memory,cuda_version,gpu_free_memory,gpu_name
2978,c84e48bd-ed1a-4f8f-8f32-1f930d6a5d30,WIN-20240626HJY,0.0,0.0,49.0,13.218036651611328,12.5,22.186716079711914,NVIDIA GeForce RTX 4090
2981,334171ae-131c-45e0-a93a-2d5b38cbeee6,DESKTOP-T32LGGG,0.0,0.0,43.0,103.55316925048828,12.5,6.347599029541016,NVIDIA GeForce RTX 4070
2982,bbc76e5b-f894-40bf-a1ba-97e47dc46a85,Satan-PC,0.0,0.0,51.0,95.3642578125,12.5,7.458232879638672,NVIDIA GeForce RTX 4090
2988,a89bbe7c-ee8d-403c-8ea1-3713570d0397,DESKTOP-BPPE0FS,0.0,0.0,316.0,21.545215606689453,12.5,15.28697395324707,NVIDIA GeForce RTX 4090
2991,09758204-62c1-4bed-a701-4c5e96078284,WIN-MPH520LL3IM,0.0,0.0,39.0,26.073230743408203,12.5,21.88147735595703,NVIDIA GeForce RTX 3090
3053,7042a67b-e9be-4943-8068-bad2f57941cb,WIN-20240607KZU,0.0,0.0,32.0,8.45352554321289,11.4,1.6030044555664062,NVIDIA GeForce GT 710
3057,04232f0a-bcb9-4a9f-9fdf-3e6795dd959e,SLM-HLA,0.0,0.0,6.0,4.9709625244140625,12.4,19.315311431884766,NVIDIA GeForce RTX 4090
3060,c60ff734-782d-45da-b53e-3cdeee0331dd,Administrator,0.0,0.0,147.0,15.664539337158203,12.6,5.322879791259766,NVIDIA GeForce RTX 3060 Ti
3061,fc4e2f85-ed38-406c-a5db-4e33f009b912,computer,0.0,0.0,29.0,43.05277633666992,12.5,9.035965919494629,NVIDIA GeForce RTX 4090
3078,a257b05e-dcc0-4278-9e9d-5772a694b35f,DESKTOP-SJAB57C,0.0,0.0,37.0,47.78327941894531,12.5,20.480274200439453,NVIDIA GeForce RTX 4090
